codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;fator_nome;fator_aspecto;fator_condicionante;fator_area;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
39316;39316;39316;39316;39316;ACIDENTE;-27.1919444444;-49.8313888889;RIO DO OESTE;SC;BRASIL;*;04/02/2010;17:55:00;SIM;FINALIZADA;A-011/CENIPA/2011;SIM;2011-05-18;2;1;NÃO;POUSO ANTES DA PISTA;POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA;USOS;PPGMH;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2.0;1992.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;BLUMENAU;RANCHO SUMIDOR;POUSO;INSTRUÇÃO;SUBSTANCIAL;0;INSTRUÇÃO, PLANEJAMENTO DE VOO, SUPERVISÃO GERENCIAL, CONDIÇÕES METEOROLÓGICAS ADVERSAS, INFRAESTRUTURA AEROPORTUÁRIA, JULGAMENTO DE PILOTAGEM; DESEMPENHO DO SER HUMANO, INFRAESTRUTURA AEROPORTUÁRIA; OPERAÇÃO DA AERONAVE; FATOR OPERACIONAL;035/2011, 034/2011;2011-05-18;2011-05-27;2011-07-07, 2012-12-18;visando verificar a conformidade da atividade aérea de instrução desenvolvida com os requisitos aplicáveis., Realizar uma auditoria no Aeroclube de Blumenau, visando detectar e corrigir irregularidades no processo de instrução aérea antes que venham a contribuir para a ocorrência de acidentes aeronáuticos., Incrementar a fiscalização dos aeroclubes e escolas de aviação;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39317;39317;39317;39317;39317;ACIDENTE;;;RIO VERDE;GO;BRASIL;SWLC;24/02/2010;13:00:00;;FINALIZADA;ENCERRADA NO RAI;NÃO;;0;1;NÃO;POUSO BRUSCO;CONTATO ANORMAL COM A PISTA | POUSO BRUSCO;ARC;PPGOB;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2.0;1993.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;SUBSTANCIAL;0;;;;;;;;;;;;
39318;39318;39318;39318;39318;ACIDENTE;-2.6;-51.8441666667;SENADOR JOSÉ PORFÍRIO;PA;BRASIL;*;25/01/2010;16:20:00;;FINALIZADA;A-122/CENIPA/2012;SIM;2012-11-19;5;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PTTAF;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-110;E110;TURBOÉLICE;BIMOTOR;5600;5600;1.0;1976.0;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;VAL DE CANS / JÚLIO CEZAR RIBEIRO;WILMA REBELO;DESCIDA;TÁXI AÉREO;SUBSTANCIAL;2;CULTURA ORGANIZACIONAL, COORDENAÇÃO DE CABINE, SUPERVISÃO GERENCIAL, ATITUDE, CONDIÇÕES METEOROLÓGICAS ADVERSAS, MANUTENÇÃO DE AERONAVE, PROCESSOS ORGANIZACIONAIS, CULTURA DO GRUPO DE TRABALHO, JULGAMENTO DE PILOTAGEM; ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE, PSICOSSOCIAL,  MANUTENÇÃO DA AERONAVE, ORGANIZACIONAL, INDIVIDUAL; FATOR HUMANO, FATOR OPERACIONAL;471/2012, 474/2012, 472/2012, 473/2012, 475/2012;2012-11-19;2012-12-11;2014-02-18, 2014-04-15, 2013-04-22;Reavaliar os programas de manutenção aprovados para as empresas que operam segundo o RBAC 135, provendo os recursos humanos e materiais necessários à prevenção de acidentes aeronáuticos., no que tange aos limites para revisão geral estabelecidos pela Pratt & Whitney para os motores da série PT6, em especial no tocante aos limites calendáricos., visando incrementar seus mecanismos de supervisão dos serviços de manutenção, Realizar uma auditoria na CONAL - Construtora Nacional de Aviões Ltda., a fim de verificar suas condições operacionais., visando aperfeiçoar o gerenciamento da segurança de voo na empresa, a fim de impedir a liberação de aeronaves para o voo com inspeções e/ou revisões vencidas e com itens não aeronáuticos instalados., Atuar junto à Piquiatuba Táxi-Aéreo Ltda., Realizar uma auditoria na Piquiatuba Táxi-Aéreo Ltda.;CUMPRIDA DE FORMA ALTERNATIVA, CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39319;39319;39319;39319;39319;ACIDENTE;-23.4125;-47.5583333333;IPERÓ;SP;BRASIL;*;27/01/2010;11:25:00;SIM;FINALIZADA;A-017/CENIPA/2011;SIM;2011-06-30;3;1;NÃO;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL;PRUGO;PARTICULAR;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6.0;1981.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;SOROCABA;FAZENDA SANTA RITA;SUBIDA;PRIVADA;DESTRUÍDA;2;PLANEJAMENTO DE VOO, ATITUDE, ANSIEDADE, ATENÇÃO, ESQUECIMENTO DO PILOTO, MOTIVAÇÃO;ASPECTO MÉDICO, ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO; INDIVIDUAL, OPERAÇÃO DA AERONAVE;FATOR HUMANO, FATOR OPERACIONAL;069/2011, 068/2011, 067/2011;2011-06-30;2011-08-01;2013-09-17, 2011-09-12;bem como o profundo conhecimento dos procedimentos de emergência., no sentido de que seja exigido dos avaliados a demonstração teórica e prática de conhecimentos afetos aos gráficos de desempenho das aeronaves, Realizar um trabalho de conscientização junto aos pilotos voltado à divulgação das consequências advindas da pressa na realização do planejamento e preparação do voo., Adotar mecanismo para a padronização das avaliações efetuadas pelos Inspetores de Aviação Civil (INSPAC), Realizar um trabalho de conscientização junto aos pilotos voltado à divulgação dos riscos inerentes à utilização de procedimentos IFR não homologados.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39320;39320;39320;39320;39320;ACIDENTE;-20.2961111111;-52.7244444444;FAROL;PR;BRASIL;*;19/01/2010;18:30:00;;FINALIZADA;A-095/CENIPA/2010;SIM;2010-12-06;4;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTFNI;AGRÍCOLA;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1905;1905;1.0;1977.0;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0;PLANEJAMENTO DE VOO, SUPERVISÃO GERENCIAL, JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;036/2010, 035/2010, 038/2010, 037/2010;2010-05-13;2010-04-20, nan;nan;antes de cada voo, altitude pressão e vento) no planejamento da decolagem., Criar um mecanismo de segurança operacional que determine aos pilotos, durante o curso de formação de pilotos agrícolas, Divulgar os ensinamentos colhidos neste acidente em palestras e seminários, procedimentos específicos para acompanhamento das atividades realizadas pelo piloto agrícola e pelo pessoal de apoio, conteúdo relativo à consulta dos Manuais de Operação, Adotar, a instalação de biruta e ao reconhecimento terrestre., bem como emitir uma DIVOP aos SERIPA., de imediato, reforçando a importância do uso dos gráficos de desempenho das aeronaves., no tocante ao planejamento do voo, avaliar a influência das condições ambientais (temperatura, Implantar, especialmente os destinados à aviação agrícola; AGUARDANDO RESPOSTA, CUMPRIDA;BRASAG, SERIPA-5, ESCOLAS SAE-AG;BRASIL SERVIÇOS AERO AGRÍCOLA, ESCOLAS AEROAGRÍCOLAS, QUINTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39321;39321;39321;39321;39321;ACIDENTE;-15.2402777778;-59.3541666667;PONTES E LACERDA;MT;BRASIL;*;23/01/2010;13:00:00;;FINALIZADA;A-010/CENIPA/2011;SIM;2011-05-18;2;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTOHL;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6.0;1981.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;DESTRUÍDA;1;APLICAÇÃO DE COMANDOS, JULGAMENTO DE PILOTAGEM, INDISCIPLINA DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;032/2011, 033/2011;2011-05-18;2011-05-27;nan;Divulgar este Relatório aos pilotos da aviação geral, bem como dos conceitos de aproximação estabilizada., enfatizando a necessidade da realização do circuito de tráfego padrão, da operação em aeródromos registrados e homologados;AGUARDANDO RESPOSTA;ABAG, APPA;ASSOCIAÇÃO BRASILEIRA DE AVIAÇÃO GERAL, ASSOCIAÇÃO DE PILOTOS E PROPRIETÁRIOS DE AERONAVES
39322;39322;39322;39322;39322;ACIDENTE;-23.6988888889;-46.5616666667;SÃO BERNARDO DO CAMPO;SP;BRASIL;*;26/01/2010;13:50:00;SIM;FINALIZADA;A-030/CENIPA/2011;SIM;2011-07-21;2;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTYSG;ESPECIALIZADA;HELICÓPTERO;ROBINSON HELICOPTER;R44;R44;PISTÃO;MONOMOTOR;1088;1088;4.0;1997.0;BRASIL;BRASIL;HELICÓPTERO;ESPECIALIZADA;MERCEDES-BENZ DO BRASIL LTDA;FORA DE AERODROMO;DECOLAGEM;ESPECIALIZADA;SUBSTANCIAL;0;CULTURA ORGANIZACIONAL, PROCESSOS ORGANIZACIONAIS, FORMAÇÃO, INSTRUÇÃO, PERCEPÇÃO, PLANEJAMENTO DE VOO, SUPERVISÃO GERENCIAL, ATITUDE, MOTIVAÇÃO, CAPACITAÇÃO E TREINAMENTO, CULTURA DO GRUPO DE TRABALHO, JULGAMENTO DE PILOTAGEM, POUCA EXPERIÊNCIA DO PILOTO;ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE, INDIVIDUAL, ORGANIZACIONAL, PSICOSSOCIAL;FATOR HUMANO, FATOR OPERACIONAL;093/2011, 094/2011;2011-07-21;2011-08-01;2014-04-28, 2012-02-06;principalmente no que se refere aos seguintes temas: limitação das aeronaves# peso e balanceamento# procedimentos normais e de emergência# padronização# briefing e debriefing., de modo a assegurar o adequado registro da instrução ministrada, visando à verificação de não conformidades relacionadas ao não lançamento de horas de voo em suas aeronaves e à utilização destas em atividades diferentes das previstas para uma empresa SAE., bem como a correta aplicação do conteúdo dos manuais dos cursos de PPH e PCH, Realizar uma Vistoria de Segurança de Voo na empresa ROTORWEST, Aperfeiçoar os mecanismos de supervisão relacionados às escolas de pilotagem e aos aeroclubes;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39323;39323;39323;39323;39323;ACIDENTE;;;CASIMIRO DE ABREU;RJ;BRASIL;*;24/01/2010;16:15:00;;;;NÃO;;0;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PUMEL;EXPERIMENTAL;ULTRALEVE;;MISTRAL 582C;ULAC;PISTÃO;MONOMOTOR;430;430;2.0;2000.0;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;EXPERIMENTAL;SUBSTANCIAL;1;;;;;;;;;;;;
39365;39365;39365;39365;39365;INCIDENTE;;;GOIÂNIA;GO;BRASIL;*;12/02/2010;16:48:00;;;;NÃO;;0;1;NÃO;COLISÃO COM AVE;COLISÃO COM AVE;BIRD;PRMAA;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;184.0;2001.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;REGULAR;;0;;;;;;;;;;;;
39367;39367;39367;39367;39367;INCIDENTE;;;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;07/02/2010;22:59:00;;;;NÃO;;0;1;NÃO;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G;PPGLS;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;3.0;1992.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0;;;;;;;;;;;;
39385;39385;39385;39385;39385;INCIDENTE GRAVE;-15.8691666667;-47.9208333333;BRASÍLIA;DF;BRASIL;SBBR;21/02/2010;17:00:00;SIM;FINALIZADA;IG-052/CENIPA/2011;SIM;2011-08-01;1;1;NÃO;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC;PTNIJ;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;P28R;PISTÃO;MONOMOTOR;1202;1202;4.0;1976.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;NELSON RODRIGUES GUIMARÃES;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;PRIVADA;SUBSTANCIAL;0;DESVIO DE NAVEGAÇÃO, ESQUECIMENTO DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;172/D/11;2011-08-01;2011-08-25;2011-09-23;a fim de elevar o alerta quanto à verificação do trem de pouso antes da aterrissagem., Divulgar o presente relatório final aos operadores da aviação geral;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
